ISI (s), ISD (cm), Taps, sigma(s), sigma(v)
0.11, 2, 7, 2, 9
0.13, 4, 2, 4, 10
0.31, 4, 5, 3, 10
0.23, 6, 8, 3, 10
0.22, 5, 4, 3, 10
0.21, 1, 4, 3, 10
0.09, 6, 6, 3, 10
0.18, 5, 7, 3, 10
0.11, 6, 5, 2, 9
0.25, 3, 2, 3, 9
0.11, 5, 10, 4, 10
0.15, 4, 7, 2, 10
0.17, 7, 6, 3, 11
0.21, 6, 5, 3, 10
0.18, 4, 6, 3, 9
0.21, 7, 7, 4, 11
0.11, 2, 6, 3, 9
0.12, 5, 6, 2, 9
0.18, 9, 2, 4, 10
0.19, 4, 3, 4, 10
0.16, 2, 5, 4, 10
0.17, 4, 3, 2, 9
0.23, 2, 6, 4, 11
0.19, 5, 5, 3, 10
0.2, 7, 3, 2, 11
0.13, 3, 0, 2, 10
0.09, 6, 2, 2, 12
0.14, 5, 5, 2, 9
0.1, 1, 6, 3, 10
0.13, 9, 2, 3, 10
0.17, 5, 7, 3, 11
0.24, 2, 4, 4, 10
0.07, 3, 5, 2, 10
0.15, 5, 4, 2, 11
0.1, 6, 10, 3, 10
0.13, 6, 3, 4, 9
0.09, 5, 5, 2, 10
0.1, 4, 2, 4, 10
0.26, 7, 4, 2, 9
0.09, 4, 4, 3, 10
0.21, 5, 5, 3, 10
0.24, 5, 9, 4, 9
0.14, 3, 6, 2, 10
0.08, 6, 3, 2, 9
0.14, 3, 7, 4, 9
0.11, -1, 8, 2, 10
0.11, 2, 0, 3, 9
0.13, 5, 3, 2, 10
0.14, 6, 6, 4, 10
0.11, 7, 1, 3, 11
0.15, 6, 4, 3, 10
0.14, 3, 4, 3, 11
0.1, 6, 2, 4, 10
0.1, 5, 6, 2, 10
0.17, 4, 5, 3, 11
0.16, 4, 4, 4, 11
0.24, 7, 0, 4, 9
0.17, 5, 1, 3, 10
0.18, 4, 4, 3, 10
0.1, 4, 3, 3, 11
0.29, 7, 3, 3, 9
0.18, 5, 7, 2, 11
0.17, 5, 6, 3, 9
0.19, 4, 1, 3, 10
0.09, 4, 2, 3, 11
0.05, 3, 6, 3, 10
0.16, 6, 4, 2, 10
0.1, 6, 8, 2, 10
0.12, 3, 7, 2, 11
0.18, 5, 4, 3, 10
0.21, 5, 5, 2, 11
0.11, 7, 3, 4, 10
0.13, 6, 5, 3, 10
0.11, 0, 8, 3, 10
0.04, 6, 3, 4, 10
0.21, 4, 10, 2, 10
0.14, 4, 3, 4, 10
0.11, 4, -1, 2, 10
0.22, 4, 5, 4, 10
0.15, 2, 5, 3, 9
0.12, 2, 6, 1, 11
0.15, 4, 4, 4, 10
0.19, 7, 4, 3, 10
0.09, 3, 7, 3, 10
0.11, 6, 4, 4, 9
0.09, 5, 6, 4, 10
0.19, -0, 7, 3, 10
0.16, 5, 7, 2, 10
0.13, 4, 4, 2, 9
0.2, 5, 4, 3, 10
0.13, 2, 3, 4, 10
0.14, 3, 4, 3, 10
0.06, 4, 2, 3, 10
0.12, 3, 3, 2, 10
0.24, 7, 3, 3, 9
0.16, 5, 4, 3, 10
0.21, 6, 6, 3, 9
0.27, 6, 7, 2, 9
0.17, 6, 2, 3, 9
0.19, 5, 7, 2, 9
0.16, 7, 7, 3, 10
0.12, 2, 3, 2, 10
0.14, 9, 7, 2, 10
0.1, 2, 7, 4, 10
0.14, 5, 5, 3, 10
0.15, 6, 4, 2, 10
0.16, 6, 9, 4, 9
0.1, 5, 2, 3, 10
0.09, 5, 5, 4, 9
0.13, 3, 3, 3, 9
0.07, 5, 4, 1, 10
0.03, 5, 4, 2, 9
0.21, 6, 2, 4, 10
0.2, 4, 4, 3, 10
0.16, 2, 6, 3, 11
0.24, 7, 3, 2, 10
0.17, 2, 8, 3, 10
0.15, 7, 7, 3, 9
0.11, 4, 6, 3, 10
0.23, 5, 3, 2, 10
0.2, 4, 6, 3, 10
0.14, 4, 6, 3, 10
0.21, 7, 5, 3, 11
0.11, 4, 7, 3, 11
0.15, 3, 3, 3, 10
0.17, 7, 3, 3, 9
0.13, 5, 4, 3, 10
0.08, 3, 3, 2, 10
0.11, 5, 3, 3, 11
